"","PHD1.SCH01.01_18S","PHD1.SCH01.02_18S","PHD1.SCH01.03_18S","PHD1.SCH01.04_18S","PHD1.SCH01.04rep_18S","PHD1.SCH01.05_18S","PHD1.SCH01.06_18S","PHD1.SCH01.07_18S","PHD1.SCH01.08_18S","PHD1.SCH01.09_18S","PHD1.SCH02.01_18S","PHD1.SCH02.02_18S","PHD1.SCH02.03_18S","PHD1.SCH02.04_18S","PHD1.SCH02.05_18S","PHD1.SCH02.06_18S","PHD1.SCH03.01_18S","PHD1.SCH03.02_18S","PHD1.SCH03.03_18S","PHD1.SCH03.04_18S","PHD1.SCH03.05_18S","PHD1.SCH03.05rep_18S","PHD1.SCH03.06_18S","PHD1.SCH03.07_18S","PHD1.SCH03.08_18S","PHD1.SCH03.09_18S","PHD1.SCH04.01_18S","PHD1.SCH04.02_18S","PHD1.SCH04.03_18S","PHD1.SCH04.04_18S","PHD1.SCH04.05_18S","PHD1.SCH04.06_18S","PHD1.SCH04.07_18S","PHD1.SCH04.08_18S","PHD1.SCH04.09_18S","PHD1.SCH04.09rep_18S","PHD1.SCH05.01_18S","PHD1.SCH05.02_18S","PHD1.SCH05.03_18S","PHD1.SCH06.01_18S","PHD1.SCH06.02_18S","PHD1.SCH06.03_18S","PHD1.SCH06.04_18S","PHD1.SCH06.06_18S","PHD1.SCH07.01_18S","PHD1.SCH07.02_18S","PHD1.SCH07.02rep_18S","PHD1.SCH07.03_18S","PHD1.SCH08.01_18S","PHD1.SCH08.02_18S","PHD1.SCH08.03_18S","PHD1.SCH08.04_18S","PHD1.SCH08.05_18S","PHD1.SCH08.06_18S","PHD1.SCH08.07_18S","PHD1.SCH08.08_18S","PHD1.SCH08.09_18S","PHD1.SW01.01_18S","PHD1.SW01.02_18S","PHD1.SW01.03_18S","PHD1.SW01.04_18S","PHD1.SW01.05_18S","PHD1.SW01.06_18S","PHD1.SW01.06rep_18S","PHD1.SW01.07_18S","PHD1.SW01.08_18S","PHD1.SW01.09_18S","PHD1.SW02.01_18S","PHD1.SW02.02_18S","PHD1.SW02.03_18S","PHD1.SW03.01_18S","PHD1.SW03.02_18S","PHD1.SW03.03_18S","PHD1.SW03.04_18S","PHD1.SW03.05_18S","PHD1.SW03.06_18S","PHD1.SW03.07_18S","PHD1.SW03.08_18S","PHD1.SW03.08rep_18S","PHD1.SW03.09_18S","PHD1.SW04.01_18S","PHD1.SW04.02_18S","PHD1.SW04.03_18S","PHD1.SW05.01_18S","PHD1.SW05.01rep_18S","PHD1.SW05.02_18S","PHD1.SW05.03_18S","PHD1.SW05.04_18S","PHD1.SW05.05_18S","PHD1.SW05.06_18S","PHD1.SW05.07_18S","PHD1.SW05.08_18S","PHD1.SW05.09_18S","PHD1.SW06.01_18S","PHD1.SW06.03_18S","PHD1.SW07.01_18S","PHD1.SW07.02_18S","PHD1.SW07.03_18S","PHD1.SW07.03rep_18S","PHD1.SW08.01_18S","PHD1.SW08.02_18S","PHD1.SW08.03_18S","PHD2.CN01.01_18S","PHD2.CN01.02_18S","PHD2.CN01.03_18S","PHD2.CN01.04_18S","PHD2.CN01.05_18S","PHD2.CN01.06_18S","PHD2.CN01.07_18S","PHD2.CN01.08_18S","PHD2.CN01.09_18S","PHD2.CN02.02_18S","PHD2.CN02.04_18S","PHD2.CN02.05_18S","PHD2.CN02.06_18S","PHD2.CN02.07_18S","PHD2.CN02.08_18S","PHD2.CN02.09_18S","PHD2.CN02.09rep_18S","PHD2.CN03.01_18S","PHD2.CN03.02_18S","PHD2.CN03.03_18S","PHD2.CN03.04_18S","PHD2.CN03.05_18S","PHD2.CN03.06_18S","PHD2.CN03.07_18S","PHD2.CN03.08_18S","PHD2.CN03.09_18S","PHD2.CN04.01_18S","PHD2.CN04.02_18S","PHD2.CN04.03_18S","PHD2.CN04.04_18S","PHD2.CN04.05_18S","PHD2.CN04.05rep_18S","PHD2.CN04.06_18S","PHD2.CN04.07_18S","PHD2.CN04.08_18S","PHD2.CN04.09_18S","PHD2.CN05.01_18S","PHD2.CN05.03_18S","PHD2.CN05.04_18S","PHD2.CN05.05_18S","PHD2.CN05.06_18S","PHD2.CN05.07_18S","PHD2.CN05.08_18S","PHD2.CN05.08rep_18S","PHD2.CN05.09_18S","PHD2.NE01.01_18S","PHD2.NE01.02_18S","PHD2.NE01.03_18S","PHD2.NE01.04_18S","PHD2.NE01.05_18S","PHD2.NE01.06_18S","PHD2.NE01.07_18S","PHD2.NE01.08_18S","PHD2.NE01.09_18S","PHD2.NE02.01_18S","PHD2.NE02.02_18S","PHD2.NE02.03_18S","PHD2.NE02.04_18S","PHD2.NE02.05_18S","PHD2.NE02.06_18S","PHD2.NE02.07_18S","PHD2.NE02.08_18S","PHD2.NE02.09_18S","PHD2.NE02.09rep_18S","PHD2.NE03.01_18S","PHD2.NE03.04_18S","PHD2.NE03.05_18S","PHD2.NE03.06_18S","PHD2.NE03.07_18S","PHD2.NE03.08_18S","PHD2.NE03.09_18S","PHD2.NE04.02_18S","PHD2.NE04.04_18S","PHD2.NE04.05_18S","PHD2.NE04.05rep_18S","PHD2.NE04.06_18S","PHD2.NE04.07_18S","PHD2.NE04.08_18S","PHD2.NE04.09_18S","PHD2.NE05.01_18S","PHD2.NE05.03_18S","PHD2.NE05.04_18S","PHD2.NE05.05_18S","PHD2.NE05.06_18S","PHD2.NE05.07_18S","PHD2.NE05.08_18S","PHD2.NE05.08rep_18S","PHD2.NE05.09_18S","PHD2.NW01.02_18S","PHD2.NW01.02rep_18S","PHD2.NW01.03_18S","PHD2.NW02.01_18S","PHD2.NW02.02_18S","PHD2.NW02.03_18S","PHD2.NW02.04_18S","PHD2.NW02.05_18S","PHD2.NW02.06_18S","PHD2.NW02.07_18S","PHD2.NW02.08_18S","PHD2.NW02.09_18S","PHD2.NW03.01_18S","PHD2.NW03.02_18S","PHD2.NW03.03_18S","PHD2.NW03.04_18S","PHD2.NW03.05_18S","PHD2.NW03.06_18S","PHD2.NW03.07_18S","PHD2.NW03.08_18S","PHD2.NW03.08rep_18S","PHD2.NW04.01_18S","PHD2.NW04.02_18S","PHD2.NW04.03_18S","PHD2.NW04.04_18S","PHD2.NW04.05_18S","PHD2.NW04.06_18S","PHD2.NW04.07_18S","PHD2.NW04.08_18S","PHD2.NW04.09_18S","PHD2.NW05.01_18S","PHD2.NW05.02_18S","PHD2.NW05.03_18S","PHD2.NW05.04_18S","PHD2.NW05.05_18S","PHD2.NW05.06_18S","PHD2.NW05.07_18S","PHD2.NW05.08_18S","PHD2.NW05.09_18S","PHD2.NW06.02_18S","PHD2.NW06.02rep_18S","PHD2.NW06.03_18S","PHD2.NW06.04_18S","PHD2.NW06.05_18S","PHD2.NW06.06_18S","PHD2.SCH01.04rep_18S","PHD2.SCH03.05rep_18S","PHD2.SCH04.09rep_18S","PHD2.SCH06.05_18S","PHD2.SCH07.02rep_18S","PHD2.SW01.06rep_18S","PHD2.SW03.08rep_18S"
"Cruoriaceae",0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crustomastix",84,67,153,50,77,37,13,28,10,5,0,0,0,0,0,0,9,0,4,13,0,0,0,0,0,0,9,0,0,10,0,7,0,0,4,0,7,10,12,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,26,14,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptopleura ramosa",56,457,133,369,569,131,43,0,0,31,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,36,28,25,15,19,21,52,18,50,47,16,0,0,12,0,0,0,0,0,0,10,0,0,139,64,131,158,0,47,0,12,19,40,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,9,45,169,216,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,26,0,21,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,91,0,0,0,17,44,0
"Cryptosula pallasiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,18,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,21,0,0,0,0,0,0,0
"Cyclostomatida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cystoclonium purpureum",15,26,10,32,55,15,0,14,0,15,17,0,0,0,0,0,0,0,0,10,0,0,0,16,0,11,28,35,28,0,0,0,0,0,0,0,15,25,46,0,0,0,41,89,183,31,29,341,0,0,0,505,32,145,0,0,0,0,0,0,54,0,38,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,12,0,28,0,36,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"Cythere lutea",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytheroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytheruridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,123,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dactylopusia pauciarticulata",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,442,0,21,0,29,0,11,15,0,16,0,0,0,0,0,7,70,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,591,0,432,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,18,0,42,22,11,33,0,85,0,7,23,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
"Daptonema normandicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dasya collabens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,71,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dasybranchus caducus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delesseria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmodora communis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dicranema revolutum",28,0,0,473,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dictyoceratida",13,23,33,10,9,22,0,0,0,0,0,0,0,0,0,0,26,0,26,9,0,0,0,0,0,0,0,0,0,27,0,18,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,17,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,24,47,40,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,12,0,14,26,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,31,42,27,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Dictyotaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Didymorchis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Digenea",0,0,0,0,0,0,0,202,207,512,0,0,0,0,0,0,229,141,1145,6659,65,28,893,309,452,400,1234,1138,1575,23,7,24,156,81,70,91,8,11,25,0,0,0,0,0,0,0,0,0,0,0,0,146,2,5,40,0,3,6523,7174,256,0,14,0,0,5,13,9,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,2,0,0,0,0,0,0,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,679,19,0,0,5,3,0,2,0,0,80,7,45,5,9,15,3,0,0,0,0,0,0,0,0,0,0,14,809,0,0,15,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,21,6,14,25,0,11,18,232,0,0,0,0,0,7,156,0,0,3,0,0,0,0,54,0,6,23,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0
"Diodora graeca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
