"","PHD1.SCH01.01_CO1","PHD1.SCH01.02_CO1","PHD1.SCH01.03_CO1","PHD1.SCH01.04_CO1","PHD1.SCH01.04rep_CO1","PHD1.SCH01.05_CO1","PHD1.SCH01.06_CO1","PHD1.SCH01.07_CO1","PHD1.SCH01.08_CO1","PHD1.SCH01.09_CO1","PHD1.SCH02.01_CO1","PHD1.SCH02.02_CO1","PHD1.SCH02.06_CO1","PHD1.SCH03.01_CO1","PHD1.SCH03.02_CO1","PHD1.SCH03.03_CO1","PHD1.SCH03.04_CO1","PHD1.SCH03.05_CO1","PHD1.SCH03.06_CO1","PHD1.SCH03.07_CO1","PHD1.SCH03.08_CO1","PHD1.SCH03.09_CO1","PHD1.SCH04.01_CO1","PHD1.SCH04.02_CO1","PHD1.SCH04.04_CO1","PHD1.SCH04.05_CO1","PHD1.SCH04.06_CO1","PHD1.SCH04.07_CO1","PHD1.SCH04.08_CO1","PHD1.SCH04.09_CO1","PHD1.SCH04.09rep_CO1","PHD1.SCH05.01_CO1","PHD1.SCH05.02_CO1","PHD1.SCH05.03_CO1","PHD1.SCH06.01_CO1","PHD1.SCH06.02_CO1","PHD1.SCH06.03_CO1","PHD1.SCH06.04_CO1","PHD1.SCH06.05_CO1","PHD1.SCH06.06_CO1","PHD1.SCH07.01_CO1","PHD1.SCH07.02_CO1","PHD1.SCH07.02rep_CO1","PHD1.SCH07.03_CO1","PHD1.SCH08.01_CO1","PHD1.SCH08.02_CO1","PHD1.SCH08.03_CO1","PHD1.SCH08.04_CO1","PHD1.SCH08.05_CO1","PHD1.SCH08.06_CO1","PHD1.SCH08.07_CO1","PHD1.SCH08.08_CO1","PHD1.SW01.01_CO1","PHD1.SW01.02_CO1","PHD1.SW01.03_CO1","PHD1.SW01.04_CO1","PHD1.SW01.05_CO1","PHD1.SW01.06_CO1","PHD1.SW01.06rep_CO1","PHD1.SW01.07_CO1","PHD1.SW01.08_CO1","PHD1.SW01.09_CO1","PHD1.SW02.01_CO1","PHD1.SW02.02_CO1","PHD1.SW02.03_CO1","PHD1.SW03.01_CO1","PHD1.SW03.02_CO1","PHD1.SW03.03_CO1","PHD1.SW03.04_CO1","PHD1.SW03.05_CO1","PHD1.SW03.06_CO1","PHD1.SW03.08_CO1","PHD1.SW03.08rep_CO1","PHD1.SW03.09_CO1","PHD1.SW04.02_CO1","PHD1.SW04.03_CO1","PHD1.SW05.01_CO1","PHD1.SW05.01rep_CO1","PHD1.SW05.02_CO1","PHD1.SW05.02rep_CO1","PHD1.SW05.03_CO1","PHD1.SW05.03rep_CO1","PHD1.SW05.04_CO1","PHD1.SW05.05_CO1","PHD1.SW05.06_CO1","PHD1.SW05.07_CO1","PHD1.SW05.08_CO1","PHD1.SW05.09_CO1","PHD1.SW06.01_CO1","PHD1.SW06.02_CO1","PHD1.SW06.03_CO1","PHD1.SW07.01_CO1","PHD1.SW07.02_CO1","PHD1.SW07.03_CO1","PHD1.SW07.03rep_CO1","PHD1.SW08.01_CO1","PHD1.SW08.02_CO1","PHD1.SW08.03_CO1","PHD2.CN01.01_CO1","PHD2.CN01.02_CO1","PHD2.CN01.02rep_CO1","PHD2.CN01.03_CO1","PHD2.CN01.04_CO1","PHD2.CN01.05_CO1","PHD2.CN01.06_CO1","PHD2.CN01.07_CO1","PHD2.CN01.08_CO1","PHD2.CN01.09_CO1","PHD2.CN02.01_CO1","PHD2.CN02.03_CO1","PHD2.CN02.04_CO1","PHD2.CN02.05_CO1","PHD2.CN02.06_CO1","PHD2.CN02.07_CO1","PHD2.CN02.08_CO1","PHD2.CN02.09_CO1","PHD2.CN02.09rep_CO1","PHD2.CN03.01_CO1","PHD2.CN03.02_CO1","PHD2.CN03.03_CO1","PHD2.CN03.04_CO1","PHD2.CN03.05_CO1","PHD2.CN03.06_CO1","PHD2.CN03.07_CO1","PHD2.CN03.08_CO1","PHD2.CN03.09_CO1","PHD2.CN04.01_CO1","PHD2.CN04.02_CO1","PHD2.CN04.04_CO1","PHD2.CN04.05_CO1","PHD2.CN04.05rep_CO1","PHD2.CN04.06_CO1","PHD2.CN04.07_CO1","PHD2.CN04.08_CO1","PHD2.CN04.09_CO1","PHD2.CN05.01_CO1","PHD2.CN05.02_CO1","PHD2.CN05.03_CO1","PHD2.CN05.04_CO1","PHD2.CN05.05_CO1","PHD2.CN05.06_CO1","PHD2.CN05.07_CO1","PHD2.CN05.08_CO1","PHD2.CN05.08rep_CO1","PHD2.CN05.09_CO1","PHD2.NE01.01_CO1","PHD2.NE01.02_CO1","PHD2.NE01.03_CO1","PHD2.NE01.04_CO1","PHD2.NE01.05_CO1","PHD2.NE01.06_CO1","PHD2.NE01.07_CO1","PHD2.NE01.08_CO1","PHD2.NE02.01_CO1","PHD2.NE02.02_CO1","PHD2.NE02.04_CO1","PHD2.NE02.05_CO1","PHD2.NE02.06_CO1","PHD2.NE02.07_CO1","PHD2.NE02.08_CO1","PHD2.NE02.09_CO1","PHD2.NE02.09rep_CO1","PHD2.NE03.01_CO1","PHD2.NE03.02_CO1","PHD2.NE03.03_CO1","PHD2.NE03.04_CO1","PHD2.NE03.05_CO1","PHD2.NE03.06_CO1","PHD2.NE03.07_CO1","PHD2.NE03.08_CO1","PHD2.NE03.09_CO1","PHD2.NE04.01_CO1","PHD2.NE04.02_CO1","PHD2.NE04.03_CO1","PHD2.NE04.04_CO1","PHD2.NE04.05_CO1","PHD2.NE04.05rep_CO1","PHD2.NE04.06_CO1","PHD2.NE04.07_CO1","PHD2.NE04.08_CO1","PHD2.NE04.09_CO1","PHD2.NE05.01_CO1","PHD2.NE05.02_CO1","PHD2.NE05.03_CO1","PHD2.NE05.04_CO1","PHD2.NE05.05_CO1","PHD2.NE05.06_CO1","PHD2.NE05.07_CO1","PHD2.NE05.08_CO1","PHD2.NE05.08rep_CO1","PHD2.NE05.09_CO1","PHD2.NW01.01_CO1","PHD2.NW01.02_CO1","PHD2.NW01.02rep_CO1","PHD2.NW01.03_CO1","PHD2.NW02.01_CO1","PHD2.NW02.02_CO1","PHD2.NW02.03_CO1","PHD2.NW02.04_CO1","PHD2.NW02.05_CO1","PHD2.NW02.06_CO1","PHD2.NW02.07_CO1","PHD2.NW02.08_CO1","PHD2.NW02.09_CO1","PHD2.NW03.02_CO1","PHD2.NW03.03_CO1","PHD2.NW03.04_CO1","PHD2.NW03.05_CO1","PHD2.NW03.06_CO1","PHD2.NW03.07_CO1","PHD2.NW03.08_CO1","PHD2.NW03.08rep_CO1","PHD2.NW03.09_CO1","PHD2.NW04.01_CO1","PHD2.NW04.02_CO1","PHD2.NW04.03_CO1","PHD2.NW04.04_CO1","PHD2.NW04.05_CO1","PHD2.NW04.06_CO1","PHD2.NW04.07_CO1","PHD2.NW04.08_CO1","PHD2.NW04.09_CO1","PHD2.NW05.01_CO1","PHD2.NW05.02_CO1","PHD2.NW05.03_CO1","PHD2.NW05.04_CO1","PHD2.NW05.05_CO1","PHD2.NW05.06_CO1","PHD2.NW05.07_CO1","PHD2.NW05.08_CO1","PHD2.NW05.09_CO1","PHD2.NW06.01_CO1","PHD2.NW06.02_CO1","PHD2.NW06.02rep_CO1","PHD2.NW06.03_CO1","PHD2.NW06.04_CO1","PHD2.NW06.05_CO1","PHD2.NW06.06_CO1","PHD2.SCH01.04rep_CO1","PHD2.SCH02.03_CO1","PHD2.SCH02.05_CO1","PHD2.SCH03.05rep_CO1","PHD2.SCH03.05rep2_CO1","PHD2.SCH04.09rep_CO1","PHD2.SCH07.02rep_CO1","PHD2.SW01.06rep_CO1","PHD2.SW03.08rep_CO1","PHD3.CN01.01rep_CO1","PHD3.CN01.02rep_CO1","PHD3.CN01.03rep_CO1","PHD3.CN01.04rep_CO1","PHD3.CN01.05rep_CO1","PHD3.CN01.06rep_CO1","PHD3.CN01.07rep_CO1","PHD3.CN01.08rep_CO1","PHD3.SCH01.04rep_CO1","PHD3.SCH03.05rep_CO1","PHD3.SCH04.09rep_CO1","PHD3.SCH07.02rep_CO1","PHD3.SW01.06rep_CO1","PHD3.SW03.08rep_CO1","PHD3.SW05.01rep_CO1","PHD3.SW07.03rep_CO1"
"Chylocladia verticillata",0,0,0,0,0,0,0,47,7,34,10,0,0,0,0,0,74,3,169,13,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0
"Cirratulus cirratus",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirriformia tentaculata",34,28,55,71,86,42,14,17,52,45,37,9,0,1025,27,69,16,113,54,0,5,14,698,19,0,8,0,0,0,6,0,0,0,3,0,0,0,0,5,12,129,35,41,6,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,6,0,0,9,13,18,0,3,0,0,0,0,0,0,0,0,8,3,5,0,0,0,177,0,0,311,0,0,0,17,36,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,18,0,76,48,54,59,227,63,56,295,161,3997,2868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1658,1575,0,432,6,15,14,28,8,454,25,26,0,0,20,0,0,0,0,0,0,0,0,0,37,0,40,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,59,0,0,0,0
"Cladonema pacificum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cladostephus spongiosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clava multicornis",0,0,0,14,43,0,0,5,0,3,225,7,0,0,0,0,0,0,9,0,0,0,0,0,0,11,78,0,0,2,0,0,0,0,6,0,0,5,0,13,21,20,21,7,30,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,0,0,0,0,9,4,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,61,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,25,0,0,97,0,0,0,0
"Cliona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clistosaccus paguri",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clytia hemisphaerica",0,0,5,11,5,0,51,0,0,4,0,3,0,0,13,24,33,0,5713,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,60,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,5,0,12,58,0,10,0,8,0,4,27,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,12,109,0,0,16,13,6,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,49,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,0,10,33,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0
"Clytia paulensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cnidaria",13,5,0,20,29,0,0,0,6,17,11,0,0,7,0,12,5,0,12,0,0,0,0,7,0,0,21,0,0,0,0,8,13,0,10,33,13,37,22,19,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"Coilodesme japonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,58,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0
"Colaconema daviesii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Colpomenia peregrina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,13,29,14,22,0,0,0,0,0,0,0,0,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corallina",0,0,0,0,0,134,13,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,11,0,9,14,8,0,9,0,0,0,0,0,64,299,0,0,8,0,0,0,0,52,25,13,47,0,64,210,0,0,0,13,21,0,69,77,54,0,0,0,8,0,0,9,0,0,0,0,62,268,112,78,38,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,26,986,949,362,242,2034,135,1501,0,0,0,0,0,0,0,0,0,6,0,21,25,6,134,212,164,151,111,25,19,35,111,449,52,95,16,23,53,0,51,14,0,0,0,6,7,0,86,0,64,57,0,11,14,0,22,0,1192,3350,1390,421,375,1343,2,53,0,49,51,76,161,44,88,64,0,0,0,375,62,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,5,0,314,662,0,0,0,0,0,0,0,275,405,66,0,6,0,75,49,0,0,0,0,32,0,0,0,0,0,0,0,0,0,31,18,11,16,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,6,0,0,0,46,0,0,0
"Corallina officinalis",0,5,8,58,88,45,76,6,0,0,0,0,0,284,40,212,41,50,158,0,0,6,0,0,0,30,175,0,0,0,0,0,0,0,34,17,32,26,14,25,0,10,10,57,168,41,0,2663,10,962,55,7,0,0,0,0,0,3,3,30,19,71,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,21,12,95,0,0,0,0,0,0,0,0,0,10,15,11,9,0,0,0,0,0,0,0,0,0,0,0,551,278,31,0,199,0,143,0,0,910,274,1982,8,37,43,20,16,0,0,18,12,16,38,108,136,21,9,9,32,246,13,54,70,19,111,0,8,62,0,0,0,0,0,17,7,161,59,18,97,113,76,27,0,0,0,115,206,354,0,18,36,0,16,0,36,65,123,156,57,54,88,0,0,0,781,57,52,95,30,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,187,70,0,0,0,0,0,0,0,1196,228,5455,0,0,0,12,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,38,13,64,28,0,0,7,12,0,12,0,0,0,0,0,0,0,5,0,0,31,4,0,5,0,0,0,0
"Corophium volutator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corymorpha nutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
