"","fieldID","projectID","eventID","type","verbatimLocality","localityID","shorePosition","fullID","year","month","day","eventTime","dna_concentration_CO1","dna_concentration_18S","negCheckLogical","pairedRepLogical","country","controlCheck","sampleType","primer","date_amplified_CO1","date_amplified_18S","batch_extraction","batch_PCR_CO1","plate_col_CO1","plate_row_CO1","batch_PCR_18S","plate_col_18S","plate_row_18S","date_extraction","exposure","weather","tide","lowWater","decimalLongitude","decimalLatitude","eventTime.1","rockpoolarea.cm.2.","averageDepth..cm.","rockpoolVol.m.3.","averagePH","averageTemp"
"PHD1-SCH05-02_18S","PHD1-SCH05-02","PHD1","PHD1-2022.06.16-SCH05-02","Open","Portskerra","SCH05","Open Water","PHD1-SCH05-02_18S",2022,6,16,"14:06",49.724,46.859,FALSE,FALSE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",3,2,6,"A",4,6,"A","02.03.2023","Moderately exposed","most dry, intermittent sun, shower when sampled","outgoing","16:45",-3.9228,58.5648,"14:06",NA,NA,NA,8.28,13.2
"PHD1-SCH05-03_18S","PHD1-SCH05-03","PHD1","PHD1-2022.06.16-SCH05-03","Open","Portskerra","SCH05","Open Water","PHD1-SCH05-03_18S",2022,6,16,"14:08",24.975,37.454,FALSE,FALSE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",3,2,6,"B",4,6,"B","02.03.2023","Moderately exposed","most dry, intermittent sun, shower when sampled","outgoing","16:45",-3.9228,58.5648,"14:08",NA,NA,NA,8.28,13.3
"PHD1-SCH06-01_18S","PHD1-SCH06-01","PHD1","PHD1-2022.06.18-SCH06-01","Rockpool","Borwick, Yesnaby","SCH06","High","PHD1-SCH06-01_18S",2022,6,18,"06:28",63.129,40.032,FALSE,FALSE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",3,2,6,"D",4,6,"D","02.03.2023","Sheltered","Sunny, windy","outgoing","07:00",-3.3588,59.0248,"06:28",11045.03,11.3,1.2481,8.02,11.65
"PHD1-SCH06-02_18S","PHD1-SCH06-02","PHD1","PHD1-2022.06.18-SCH06-02","Rockpool","Borwick, Yesnaby","SCH06","High","PHD1-SCH06-02_18S",2022,6,18,"06:36",58.746,59.068,FALSE,FALSE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",3,2,6,"E",4,6,"E","02.03.2023","Sheltered","Sunny, windy","outgoing","07:00",-3.3588,59.0248,"06:36",16406.73,17.4,2.8548,8.1,10.7
"PHD1-SCH06-03_18S","PHD1-SCH06-03","PHD1","PHD1-2022.06.18-SCH06-03","Rockpool","Borwick, Yesnaby","SCH06","High","PHD1-SCH06-03_18S",2022,6,18,"06:42",69.225,26.755,FALSE,FALSE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",3,2,6,"F",4,6,"F","02.03.2023","Sheltered","Sunny, windy","outgoing","07:00",-3.3588,59.0248,"06:42",14596.15,22.6,3.2987,8.43,10.45
"PHD1-SCH06-04_18S","PHD1-SCH06-04","PHD1","PHD1-2022.06.18-SCH06-04","Open","Borwick, Yesnaby","SCH06","Open Water","PHD1-SCH06-04_18S",2022,6,18,"06:50",46.719,17.863,FALSE,FALSE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",3,2,6,"G",4,6,"G","02.03.2023","Sheltered","Sunny, windy","outgoing","07:00",-3.3588,59.0248,"06:50",NA,NA,NA,7.39,11.6
"PHD1-SCH06-06_18S","PHD1-SCH06-06","PHD1","PHD1-2022.06.18-SCH06-06","Open","Borwick, Yesnaby","SCH06","Open Water","PHD1-SCH06-06_18S",2022,6,18,"06:52",49.486,39.224,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,7,"A",4,7,"A","02.03.2023","Sheltered","Sunny, windy","outgoing","07:00",-3.3588,59.0248,"06:52",NA,NA,NA,7.69,11.2
"PHD1-SCH07-01_18S","PHD1-SCH07-01","PHD1","PHD1-2022.06.19-SCH07-01","Open","Sannick","SCH07","Open Water","PHD1-SCH07-01_18S",2022,6,19,"08:02",66.367,48.026,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,7,"C",4,7,"C","02.03.2023","Moderately exposed","Windy and light rain","outgoing","08:56",-3.0439,58.6455,"08:02",NA,NA,NA,8.26,11.5
"PHD1-SCH07-02_18S","PHD1-SCH07-02","PHD1","PHD1-2022.06.19-SCH07-02","Open","Sannick","SCH07","Open Water","PHD1-SCH07-02_18S",2022,6,19,"08:04",73.065,69.174,FALSE,TRUE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,7,"D",4,7,"D","02.03.2023","Moderately exposed","Windy and light rain","outgoing","08:56",-3.0439,58.6455,"08:04",NA,NA,NA,8.56,11.2
"PHD1-SCH07-02rep_18S","PHD1-SCH07-02rep","PHD1","PHD1-2022.06.19-SCH07-02rep","Open","Sannick","SCH07","Open Water","PHD1-SCH07-02rep_18S",2022,6,19,"08:04",68.713,37.791,FALSE,TRUE,"Scotland","sample","plate-replicate","18S","29.03.2023","29.03.2023",3,1,9,"C",3,8,"H","02.03.2023","Moderately exposed","Windy and light rain","outgoing","08:56",-3.0439,58.6455,"08:04",NA,NA,NA,8.56,11.2
"PHD1-SCH07-03_18S","PHD1-SCH07-03","PHD1","PHD1-2022.06.19-SCH07-03","Open","Sannick","SCH07","Open Water","PHD1-SCH07-03_18S",2022,6,19,"08:07",62.968,41.441,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,7,"E",4,7,"E","02.03.2023","Moderately exposed","Windy and light rain","outgoing","08:56",-3.0439,58.6455,"08:07",NA,NA,NA,8.17,10.8
"PHD1-SCH08-01_18S","PHD1-SCH08-01","PHD1","PHD1-2022.06.19-SCH08-01","Open","Wick","SCH08","Open Water","PHD1-SCH08-01_18S",2022,6,19,"10:02",65.481,47.983,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,7,"G",4,7,"G","02.03.2023","Moderately exposed","Windy, dry, partially sunny","incoming","09:56",-3.0571,58.4412,"10:02",NA,NA,NA,8.48,12.5
"PHD1-SCH08-02_18S","PHD1-SCH08-02","PHD1","PHD1-2022.06.19-SCH08-02","Open","Wick","SCH08","Open Water","PHD1-SCH08-02_18S",2022,6,19,"10:07",68.607,46.569,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,7,"H",4,7,"H","02.03.2023","Moderately exposed","Windy, dry, partially sunny","incoming","09:56",-3.0571,58.4412,"10:07",NA,NA,NA,8.64,12
"PHD1-SCH08-03_18S","PHD1-SCH08-03","PHD1","PHD1-2022.06.19-SCH08-03","Open","Wick","SCH08","Open Water","PHD1-SCH08-03_18S",2022,6,19,"10:07",64.835,61.083,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,8,"A",4,8,"A","02.03.2023","Moderately exposed","Windy, dry, partially sunny","incoming","09:56",-3.0571,58.4412,"10:07",NA,NA,NA,8.64,11.8
"PHD1-SCH08-04_18S","PHD1-SCH08-04","PHD1","PHD1-2022.06.19-SCH08-04","Rockpool","Wick","SCH08","Low","PHD1-SCH08-04_18S",2022,6,19,"10:11",69.282,34.908,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,8,"B",4,8,"B","02.03.2023","Moderately exposed","Windy, dry, partially sunny","incoming","09:56",-3.0571,58.4412,"10:11",1520.89,11.1,0.1688,8.66,13.7
"PHD1-SCH08-05_18S","PHD1-SCH08-05","PHD1","PHD1-2022.06.19-SCH08-05","Rockpool","Wick","SCH08","Low","PHD1-SCH08-05_18S",2022,6,19,"10:18",73.832,51.99,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,8,"C",4,8,"C","02.03.2023","Moderately exposed","Windy, dry, partially sunny","incoming","09:56",-3.0571,58.4412,"10:18",13463.76,26.4,3.5544,9.14,13.6
"PHD1-SCH08-06_18S","PHD1-SCH08-06","PHD1","PHD1-2022.06.19-SCH08-06","Rockpool","Wick","SCH08","Low","PHD1-SCH08-06_18S",2022,6,19,"10:25",55.864,69.666,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,8,"D",4,8,"D","02.03.2023","Moderately exposed","Windy, dry, partially sunny","incoming","09:56",-3.0571,58.4412,"10:25",4620.15,21.3,0.9841,8.6,13
"PHD1-SCH08-07_18S","PHD1-SCH08-07","PHD1","PHD1-2022.06.19-SCH08-07","Rockpool","Wick","SCH08","High","PHD1-SCH08-07_18S",2022,6,19,"10:35",76.284,39.374,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,8,"E",4,8,"E","02.03.2023","Moderately exposed","Windy, dry, partially sunny","incoming","09:56",-3.0571,58.4412,"10:35",36115.62,19.4,7.0064,8.65,13.05
"PHD1-SCH08-08_18S","PHD1-SCH08-08","PHD1","PHD1-2022.06.19-SCH08-08","Rockpool","Wick","SCH08","High","PHD1-SCH08-08_18S",2022,6,19,"10:47",54.826,60.65,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,8,"F",4,8,"F","02.03.2023","Moderately exposed","Windy, dry, partially sunny","incoming","09:56",-3.0571,58.4412,"10:47",2515.17,6.9,0.1735,9.04,13.9
"PHD1-SCH08-09_18S","PHD1-SCH08-09","PHD1","PHD1-2022.06.19-SCH08-09","Rockpool","Wick","SCH08","High","PHD1-SCH08-09_18S",2022,6,19,"10:54",20.779,53.749,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",3,2,8,"G",4,8,"G","02.03.2023","Moderately exposed","Windy, dry, partially sunny","incoming","09:56",-3.0571,58.4412,"10:54",5263.96,6.2,0.3264,8.79,14.05
"PHD1-SW01-01_18S","PHD1-SW01-01","PHD1","PHD1-2022.08.26-SW01-01","Rockpool","Aberystwyth","SW01","High","PHD1-SW01-01_18S",2022,8,26,"13:45",73.232,42.964,FALSE,FALSE,"South Wales","sample","sample","18S","22.03.2023","28.03.2023",4,1,1,"A",3,1,"A","09.02.2023","Sheltered","Sunnny, hot, calm","incoming","15:00",-4.086,52.4234,"13:45",19121.49,14.9,2.8491,9.2,24.85
